MER Version,Tab,List,Indicator,HasIndicatorLink,Description,Table Data (in Markdown),Images,Links 
2.4,New Additions to MER 2.4,Site and SNU Attributes,,TRUE,"PEPFAR collects administrative, epidemiologic, and service-related data about PEPFAR-supported facilities and subnational units (SNUs) that helps to better illuminate where services should be provided, where services are actually are provided, who is delivering these services, and what is the service capacity. Some of these attributes are routinely collected in form of MER indicators (e.g., HRH_CURR, EMR_SITE), others are collected at the time a facility is added to a master facility list and subsequently DATIM (e.g., facility name, geographic coordinates), and others are collected during the annual PEPFAR planning cycle.

Through the collection of these data, PEPFAR strives to have more complete information available on service provision facility infrastructure. Use of these data facilitates improved decision-making when country programs are determining what services should be targeted to the populations in greatest need of these services by geographic locations.

New site attributes have been added for reporting in FY20. For a full list of all required site and SNU attributes, refer to Appendix D. Additional details on the collection of these attributes will be included in the COP 20 guidance and the FY20 MOH-Data Alignment Activity.",,Appendix D,
2.4,Adjustments from MER 2.3,Changes in Reporting Frequency,TX_ML,TRUE,"The reporting frequency moves from semi-annually to quarterly in FY20 to align with other treatment indicators and improve triangulation with TX_NEW, TX_NET_NEW, TX_CURR, and TX_RTT.",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Indicators,AGYW_PREV,TRUE,"Indicator reporting shifted in FY19 from being cumulative for the entire DREAMS programs to a to snapshot, reflecting AGYW service completion as of the past 6 months at Q2 and the past 12 months at Q4. For FY20, the numerator and denominator disaggregates have been reorganized and a denominator disaggregate has been added to capture AGYW enrolled in DREAMS that have started but not yet completed a DREAMS service/intervention in the reporting period. These changes will provide the ability to better assess completion coverage.",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Indicators,HTS_RECENT,TRUE,"HTS_RECENT has been restructured to combine the previous numerator and denominator into a single numerator to mirror HTS_TST. As such the previous indication disaggregation (assay, RITA, and not documented) was redefined to align better with reported results and recency testing algorithms. All assay results will be reported under rapid test for recent infection (RTRI) and confirmed results through viral load testing as part of the RITA will be reported as a subset, where available.

HTS_RECENT results will be collected by modality and test result beginning in FY20 to improve alignment and triangulation with HTS_TST in order to understand which modalities are identifying recent infections. The pregnancy status disaggregation was removed due to the addition of modality as pregnancy status can be ascertained from the PMTCT ANC1 and PMTCT Post ANC1 modalities.",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Indicators,TB_PREV,TRUE,"The denominator was changed from the number of ART patients who “are expected to complete a course of TPT” to those who were initiated on any course of TPT during the previous reporting period. The
therapy type (regimen) disaggregates for the numerator and denominator were moved from the indicator to the guiding narrative questions. The APR calculation for TB_PREV was changed from a snapshot indicator, to being summed over time (i.e., previous calculation: APR=Q4, new calculation: APR=Q2+Q4).",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Indicators,TX_ML,TRUE,"The outcome disaggregations have been simplified to the following categories: died, lost to follow-up, transferred out, and refused (stopped) treatment. Sub-disaggregations were added to the lost to follow-up outcome for patients LTFU after being on treatment for >3 months vs. patients LTFU after being on treatment <3 months. This distinction was added to highlight the critical nature of early retention for successful longer-term retention among those persons newly initiating ART, especially otherwise healthy or younger adults.",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Disaggregations,LAB_PTCQI,TRUE,Laboratory and point-of-care testing site categories have been updated to include “rapid test for recent infection” and remove “other”.,,,
2.4,Adjustments from MER 2.3,Modifications to Existing Disaggregations,PP_PREV,TRUE,"A new disaggregate has been added to the “Testing Services” disaggregate group for “Test not required based on risk assessment” for those priority populations not eligible for HTS based on HTS screening.
In-text clarifications were also added to confirm that conducting an HIV risk assessment meets the required HTS component for PP_PREV.",,,
2.4,Adjustments from MER 2.3,Modifications to Existing Disaggregations,TX_PVLS,TRUE,"“Not documented” testing indication removed as efforts should have been initiated since this
indicator was introduced, as described in the previous releases of the MER guidance, to move results to either
“routine” or “targeted.”",,,
2.4,Adjustments from MER 2.3,Indicator Definition Clarifications,OVC_SERV,TRUE,"Clarifying language was added to OVC_SERV explaining exited, transferred, and graduation disaggregates should be reported cumulatively at Q4. In addition, there is an expanded definition of “child” OVC beneficiary to include children aged 18 to 20 still completing secondary education or an approved economic intervention intended to secure the livelihood of an OVC aging out of the program. Language was also added regarding counting active DREAMS beneficiaries who are not otherwise actively enrolled in the OVC program under OVC_SERV. Lastly, there is clarifying language added regarding the definition and number of caregivers per household.",,,
2.4,Removals from MER 2.3,Retired Indicators,SC_STOCK,TRUE,"Indicator has been removed in order to introduce improvements to the supply chain indicators, including SC_ARVDISP and SC_CURR, which allows for more proactive action to address bottlenecks in the supply chain.",,,
2.3,New Additions to MER 2.3,New Indicators,AGYW_PREV,TRUE,AGYW_PREV is a semi-annual indicator introduced for reporting beginning in FY19. AGYW_PREV is a DREAMS-specific indicator to measure how many adolescent girls and young women (AGYW) are being served in the DREAMS program and whether all AGYW in DREAMS have received the intended layered services and interventions to ensure that they remain HIV-free.,,,
2.3,New Additions to MER 2.3,New Indicators,CXCA_SCRN,TRUE,CXCA_SCRN is a semi-annual indicator introduced for reporting beginning in Q4 of FY18. CXCA measures the percentage of HIV-positive women on ART screened for cervical cancer.,,,
2.3,New Additions to MER 2.3,New Indicators,CXCA_TX,TRUE,"CXCA_TX is a semi-annual indicator introduced for reporting beginning in Q4 of FY18. CXCA_TX measures the percentage of cervical cancer screen-positive women who are also HIV-positive and on ART that were eligible for and received cryotherapy, thermocoagulation or LEEP.",,,
2.3,New Additions to MER 2.3,New Indicators,HTS_INDEX,TRUE,HTS_INDEX is now a standalone indicator to monitor and help guide PEPFAR programming for index testing services. Reporting for HTS_INDEX will begin in Q1 of FY19. HTS_INDEX is the first MER indicator to monitor PEPFAR programming related to HIV index testing services (often referred to as partner notification or contact tracing services). This indicator includes a cascade that will help to better understand the scale and fidelity of the index testing services provided by PEPFAR-supported programs.,,,
2.3,New Additions to MER 2.3,New Indicators,HTS_RECENT,TRUE,"HTS_RECENT is a quarterly indicator introduced for reporting beginning in Q1 of FY19. Testing individuals that are newly diagnosed with HIV-1 for recent infection is an emerging programmatic area of emphasis for PEPFAR. HTS_RECENT measures the percentage of newly diagnosed HIV-positive persons aged
≥15 years with a test for recent infection result of ‘recent infection’ during the reporting period. As countries progress toward epidemic control, surveillance of newly diagnosed persons will ensure that interventions target those at highest risk of acquiring or transmitting HIV infection. One approach is to identify recent HIV infections, defined as those acquired within approximately the last one year. Incorporation of rapid tests for recent HIV-1 infection into routine HIV testing services will enable the establishment of a surveillance system to quickly detect, monitor, characterize, and intervene on recent infections among newly diagnosed HIV cases. Data collected from a recent infection surveillance system can also be used to fine-tune a country’s programmatic response through prioritized programming and resource allocation.
",,,
2.3,New Additions to MER 2.3,New Indicators,PrEP_CURR,TRUE,PrEP_CURR is a semi-annual indicator introduced for reporting beginning in FY19. PrEP_CURR measures the number of individuals receiving oral PrEP during the reporting period and is an important addition to the MER to help PEPFAR programs understand how many clients are being sustained on PrEP after initiation.,,,
2.3,New Additions to MER 2.3,New Indicators,TX_ML,TRUE,TX_ML is a semi-annual indicator introduced for reporting beginning in FY19. TX_ML is intended to drive improved tracing of patients to ensure patient outcomes are accurately documented. It is the first PEPFAR indicator to collect information on mortality among patients on ART and in care. The indicator also strives to better understand the magnitude of previously undocumented patient transfers.,,,
2.3,New Additions to MER 2.3,New Disaggregations,HTS_TST,TRUE,A new facility-based testing modality has been introduced: Post ANC1: Pregnancy/L&D/BF. Please refer to the HTS_TST indicator reference sheet for additional details.,,,
2.3,New Additions to MER 2.3,New Disaggregations,PP_PREV,TRUE,"A new, optional priority populations type disaggregate was added to this indicator to capture the specific priority populations accessing prevention services. Age/sex-specific priority populations were not added to this disaggregate group (e.g., AGYW) because these can be calculated using the mandatory age/sex disaggregates collected within the indicator.",,,
2.3,New Additions to MER 2.3,New Disaggregations,TX_TB,TRUE,The denominator has been updated to include a new disaggregate for “positive result returned.”,,,
2.3,Adjustments from MER 2.2,Changes in Reporting Frequency,PrEP_NEW,TRUE,The reporting frequency moves from quarterly to semi-annually in FY19 to align the prevention indicators.,Table 4,,
2.3,Adjustments from MER 2.2,Changes in Reporting Frequency,TB_ART,TRUE,The reporting frequency moves from semi-annually to quarterly in FY19 to align with the ART-related indicators and TB_STAT.,Table 4,,
2.3,Adjustments from MER 2.2,Changes in Reporting Frequency,TB_STAT,TRUE,The reporting frequency moves from semi-annually to quarterly in FY19 to align with HTS_TST.,Table 4,,
2.3,Adjustments from MER 2.2,Changes in Reporting Frequency,TX_PVLS,TRUE,The reporting frequency moves from annually to quarterly in FY19 to ensure that the treatment cascade can be reviewed quarterly and to emphasize the importance of regularly monitoring viral load coverage and suppression.,Table 4,,
2.3,Adjustments from MER 2.2,Modifications to Existing Indicators,HRH_CURR,TRUE,"The reporting of HRH_CURR by the number of full-time equivalents is no longer required. HRH_CURR has been simplified to collect the total number of staff (regardless of FTE). In addition, a new data element has been added to capture the amount of funding spent on health care workers by cadre and support type.",,,
2.3,Adjustments from MER 2.2,Modifications to Existing Indicators,PMTCT_EID,TRUE,"The denominator has been updated to include HIV+ pregnant women identified after ANC1, including those women who test positives later in pregnancy, at labor and delivery, and throughout the breastfeeding period. The positive results for these women will be captured under the newly added HTS modality, Post ANC1: Pregnancy/L&D/BF and will be summed with the positives (new and known) from ANC1 (i.e., PMTCT_STAT_POS) to obtain the total denominator.",,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,OVC_HIVSTAT,TRUE,The status type disaggregates have been modified. The sub-disaggregate under “No status reported” formerly called “Test not indicated” will now be “Test not required based on risk assessment” to simplify the language.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,OVC_SERV,TRUE,"Age/sex and program status (i.e., active or graduated) disaggregations have been combined.",,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,PMTCT_ART,TRUE,Age disaggregations were added to the “maternal regimen type” disaggregate to align with PMTCT_STAT. Age disaggregations were not previously collected for PMTCT_ART.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,PREP_NEW,TRUE,"The KP type disaggregation for this indicator has been updated. “Other key population” has been removed and replaced with “people who inject drugs” and “people in prisons and other closed settings” so that all key population disaggregate group options align between HTS_TST, TX_NEW, PrEP_CURR, and PrEP_NEW.",,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,TB_ART,TRUE,Age/sex and “ART status” disaggregations have been combined.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,TB_PREV,TRUE,Age/sex and “Type of TB preventive therapy by ART Start” disaggregations have been combined for both the numerator and the denominator.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,TB_STAT,TRUE,Age/sex disaggregations were updated from coarse-only to fine age bands to allow TB_STAT to auto-populate HTS_TST via the TB modality and to align with the age bands for TB_ART.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,TX_TB,TRUE,Age/sex and “ART Status” disaggregations have been combined for the numerator. Age/sex and “Start of ART by Screen Results” disaggregations have been combined for the denominator.,,,
2.3,Adjustments from MER 2.2,Modifications to Existing Disaggregations,VMMC_CIRC,TRUE,Age disaggregations were added to the “HIV Status and Outcome” disaggregate in order for VMMC HTS results to auto-populate into the HTS_TST indicator. Note that the age disaggregations align with HTS_TST to allow for auto-population. This means the <4 disaggregations differ slightly from the indicator itself.,,,
2.3,Removals from MER 2.2,Retired Indicators,TX_RET,TRUE,Indicator has been removed in order to incorporate the new TX_ML indicator and strengthen reporting on TX_PVLS.,,,
2.3,Removals from MER 2.2,Retired Disaggregations,OVC_SERV,TRUE,"The age/sex/service DREAMS-related disaggregate was removed and replaced with a new indicator, AGYW_PREV, to improve the tracking of layered services and interventions.",,,
2.3,Removals from MER 2.2,Retired Disaggregations,PMTCT_STAT,TRUE,The age-only disaggregate was removed to minimize duplicative reporting. Age is already captured under the status and age disaggregate group.,,,
2.3,Removals from MER 2.2,Retired Disaggregations,TX_NEW,TRUE,The “confirmed diagnosis of TB” disaggregate was removed as TB_ART results have moved to quarterly reporting.,,,
2.3,Adjustments from MER 2.2,Indicator Definition Clarifications,GEND_GBV,TRUE,Clarifying language was added to the “disaggregate descriptions and definitions” section of the indicator to ensure that clients are not double-counted under the indicator.,,,
2.3,Adjustments from MER 2.2,Indicator Definition Clarifications,OVC_SERV,TRUE,"Clarifying language added to this indicator reference sheet to better emphasize that only children (and their caregivers) that actually received one or more services in each of the preceding two quarters should be counted in this indicator. OVC that have registered for the program (i.e., been enrolled and assessed) but have not yet received any services should not be counted in the results. The purpose of this indicator is to assure that beneficiaries are being reached promptly and regularly with needed support. 
In addition, illustrative eligible interventions that qualify a beneficiary to be counted as active have been added, for both children and caregivers. For services that are not captured in the list, local USG funding agency approval must be received in order to count these services toward active OVC status.
Next, minimum graduation benchmarks have been established to ensure that PEPFAR programs have aligned objectives for progressing children and their caregivers to a minimum level of stability. Children and caregivers in a household move from active to graduated status together when each has met the minimum benchmarks (reflecting the family-centered nature of OVC programming).
Lastly, clarifying language has been added to the indicator reference sheet regarding the calculation of annual totals and the timeframe of data submitted for Q4 disaggregates. Individuals should only be counted once at Q4 reporting (i.e., active, graduated, transferred, and exited disaggregates are mutually exclusive).",,,
2.3,Adjustments from MER 2.2,Indicator Definition Clarifications,PMTCT_ART,TRUE,"Language has been added to clarify that only women initiating on treatment prior to pregnancy or during pregnancy (ANC) should be counted under PMTCT_ART. Women newly initiating or coming to the facility during L&D and breastfeeding should be counted under TX_NEW and/or TX_CURR, but not under PMTCT_ART.",,,
2.3,Adjustments from MER 2.2,Indicator Definition Clarifications,PMTCT_STAT,TRUE,"Language has been added to clarify that subsequent testing events during pregnancy, labor and delivery, and breastfeeding will be reported under the new HTS_TST modality: Post ANC1: Pregnancy/L&D/BF. See the PMTCT_STAT and HTS_TST indicator reference sheets for further details.",,,
2.3,Adjustments from MER 2.2,Indicator Definition Clarifications,TX_CURR,TRUE,Language under the “How to Collect” section has been updated to better clarify PEPFAR reporting expectations in light of recent DQAs and to describe alignment with the new TX_ML indicator.,,,
2.3,New Addition to MER 2.3,Age Disaggregations,See Table 2,FALSE,"Data from the Population-Based HIV Impact Assessments (PHIA) has provided valuable insight into the progress many PEPFAR countries are making towards achieving the 95-95-95 goals in all ages and sexes. Significant disparities in incidence and viral suppression among adults ages 25-49-year led PEPFAR to reassess the required reporting age bands and further disaggregate the 25-49-year old age band into the following four age bands: 25-29, 30-34, 35-39, and 40-49 in FY18. Further review and analysis of age- disaggregated data during COP 2018 resulted in a shift towards disaggregation by standard five-year-age bands to align with the WHO guidance (https://www.who.int/hiv/pub/guidelines/strategic-information-guidelines/en/) for electronic systems.

Reporting on the new MER 2.0 (v2.3) age bands will be introduced beginning in Q1 of FY 2019. As discussed in the previous MER guidance as well as in the FY 18 Consolidated Guidance for Data Collection and Use in PEPFAR and the COP 2018 PEPFAR Fiscal Year 2018 Country Operational Plan (COP) Guidance for Standard Process Countries, country teams were required to discuss any barriers or challenges to reporting the new finer age disaggregations during FY 18 to address these challenges in order to fully report on new finer age bands beginning in FY19. **Methods of extrapolating or estimating age disaggregated results data are not permitted.** If you have questions, contact your SI Advisor and SGAC_SI@state.gov. The table below describes the evolution of the standard, required age bands for PEPFAR reporting from FY 2015 through FY 2019. Note that there are some indicator-specific variations to these requirements.

**Table 2: Evolution of PEPFAR Finer Age Bands for Results Reporting**
|    Evolution of PEPFAR Finer Age   Bands for Results Reporting  |  
|    FY 2015 - 2016    |    FY   2017    |    FY 2018    |    FY 2019    |
|----------------------|-----------------|---------------|---------------|
|    Age Band         |    Sex              |    Age Band         |    Sex              |    Age Band    |    Sex      |    Age Band    |    Sex      |
|---------------------|---------------------|---------------------|---------------------|----------------|-------------|----------------|-------------|
|    <1               |    M / F            |    <1               |    None             |    <1          |    None     |    <1          |    M / F    |
|    1-4              |    M / F            |    1-9              |    None             |    1-9         |    None     |    1-4         |    M / F    |
|    5-9              |    M / F            |    5-9              |    M / F            |                |             |                |             |
|    10-14            |    M / F            |    10-14            |    M / F            |    10-14       |    M / F    |    10-14       |    M / F    |
|    15-19            |    M / F            |    15-19            |    M / F            |    15-19       |    M / F    |    15-19       |    M / F    |
|    20-24            |    M / F            |    20-24            |    M / F            |    20-24       |    M / F    |    20-24       |    M / F    |
|            25-49    |            M / F    |            25-49    |            M / F    |    25-29       |    M / F    |    25-29       |    M / F    |
|    30-34            |    M / F            |    30-34            |    M / F            |                |             |                |             ||            25-49    |            M / F    |            25-49    |            M / F    |    25-29    |    M / F    |    25-29    |    M / F    |
|---------------------|---------------------|---------------------|---------------------|-------------|-------------|-------------|-------------|
|                     |                     |                     |                     | 30-34       | M / F       | 30-34       | M / F       |
|                     |                     |                     |                     | 35-39       | M / F       | 35-39       | M / F       |
|                     |                     |                     |                     | 45-49       | M / F       | 40-44       | M / F       |
|                     |                     |                     |                     |             |             | 45-49       | M / F       |
|    50+              |    M / F            |    50+              |    M / F            |    50+      |    M / F    |    50+      |    M / F    |","|    Evolution of PEPFAR Finer Age   Bands for Results Reporting  |  
|    FY 2015 - 2016    |    FY   2017    |    FY 2018    |    FY 2019    |
|----------------------|-----------------|---------------|---------------|
|    Age Band         |    Sex              |    Age Band         |    Sex              |    Age Band    |    Sex      |    Age Band    |    Sex      |
|---------------------|---------------------|---------------------|---------------------|----------------|-------------|----------------|-------------|
|    <1               |    M / F            |    <1               |    None             |    <1          |    None     |    <1          |    M / F    |
|    1-4              |    M / F            |    1-9              |    None             |    1-9         |    None     |    1-4         |    M / F    |
|    5-9              |    M / F            |    5-9              |    M / F            |                |             |                |             |
|    10-14            |    M / F            |    10-14            |    M / F            |    10-14       |    M / F    |    10-14       |    M / F    |
|    15-19            |    M / F            |    15-19            |    M / F            |    15-19       |    M / F    |    15-19       |    M / F    |
|    20-24            |    M / F            |    20-24            |    M / F            |    20-24       |    M / F    |    20-24       |    M / F    |
|            25-49    |            M / F    |            25-49    |            M / F    |    25-29       |    M / F    |    25-29       |    M / F    |
|    30-34            |    M / F            |    30-34            |    M / F            |                |             |                |             ||            25-49    |            M / F    |            25-49    |            M / F    |    25-29    |    M / F    |    25-29    |    M / F    |
|---------------------|---------------------|---------------------|---------------------|-------------|-------------|-------------|-------------|
|                     |                     |                     |                     | 30-34       | M / F       | 30-34       | M / F       |
|                     |                     |                     |                     | 35-39       | M / F       | 35-39       | M / F       |
|                     |                     |                     |                     | 45-49       | M / F       | 40-44       | M / F       |
|                     |                     |                     |                     |             |             | 45-49       | M / F       |
|    50+              |    M / F            |    50+              |    M / F            |    50+      |    M / F    |    50+      |    M / F    |",,https://www.who.int/hiv/pub/guidelines/strategic-information-guidelines/en/
2.3,New Addition to MER 2.3,Updated DATIM Functionality,NA,FALSE,"Auto-sum numerators and denominators: To reinforce data quality and reduce data entry, PEPFAR will begin to auto-sum the top-level numerators and denominators for most indicators in FY 2019. To reinforce data quality and reduce data entry, PEPFAR will begin to auto-sum the top-level numerators and denominators for most indicators in FY 2019. For example, the age/sex disaggregations for TX_CURR will be summed to obtain the total numerator for TX_CURR. Implementing partner staff will not need to enter both a numerator and the age/sex disaggregations into DATIM. Entering the age/sex disaggregations will auto- sum the numerator. In order to ensure completeness of reporting where age-related data is not collected fully, an option of ‘unknown age’ has been added to all indicators. Note that an ‘unknown sex’ option is not available. Data must be collected by sex, at a minimum, in order to be reported in DATIM. If you have questions about this requirement, contact your SI Advisor and SGAC_SI@state.gov.
In each indicator reference sheet, within the disaggregations section, the disaggregate group that will be used to auto-sum the numerator or denominator is highlighted in BOLD text. Not all indicators will auto-calculate.",,,
2.3,New Addition to MER 2.3,Update DATIM Functionality,Auto-Sum Numerators and Denominators,FALSE,"To reinforce data quality and reduce data entry, PEPFAR will begin to auto-sum the top-level numerators and denominators for most indicators in FY 2019. For example, the age/sex disaggregations for TX_CURR will be summed to obtain the total numerator for TX_CURR. IIImplementing partner staff will not need to enter both a numerator and the age/sex disaggregations into DATIM**. Entering the age/sex disaggregations will auto- sum the numerator. In order to ensure completeness of reporting where age-related data is not collected fully, an option of ‘unknown age’ has been added to all indicators. Note that an ‘unknown sex’ option is not available. Data must be collected by sex, at a minimum, in order to be reported in DATIM. If you have questions about this requirement, contact your SI Advisor and SGAC_SI@state.gov.
 
In each indicator reference sheet, within the disaggregations section, the disaggregate group that will be used to auto-sum the numerator or denominator is highlighted in **BOLD** text. Not all indicators will auto-calculate.",,,
